day_of_week,hour,global_day_hour_avg
0,0,1.9942196531791907
0,1,3.2153846153846155
0,2,0.8544303797468354
0,3,0.061224489795918366
0,4,0.0
0,5,3.42560553633218
0,6,3.2476489028213167
0,7,2.3896103896103895
0,8,2.5555555555555554
0,9,2.215686274509804
0,10,2.4146341463414633
0,11,3.013215859030837
0,12,2.995850622406639
0,13,2.489130434782609
0,14,3.234113712374582
0,15,2.8958990536277605
0,16,2.6468842729970326
0,17,2.6192893401015227
0,18,2.7231270358306188
0,19,2.716
0,20,3.2674418604651163
0,21,2.5
0,22,1.7159420289855072
0,23,2.0288461538461537
1,0,3.088785046728972
1,1,1.9708333333333334
1,2,0.7054794520547946
1,3,0.25925925925925924
1,4,0.0
1,5,4.9453125
1,6,3.682634730538922
1,7,2.785211267605634
1,8,2.9340974212034383
1,9,2.1862068965517243
1,10,2.1223021582733814
1,11,2.549019607843137
1,12,3.7661870503597124
1,13,3.02258064516129
1,14,2.5251798561151078
1,15,2.8990228013029316
1,16,2.5965346534653464
1,17,2.6649076517150396
1,18,2.6766467065868262
1,19,3.1596091205211727
1,20,3.6052631578947367
1,21,2.4342629482071714
1,22,2.033536585365854
1,23,2.337579617834395
2,0,2.896039603960396
2,1,1.497584541062802
2,2,0.5730994152046783
2,3,0.30303030303030304
2,4,2.2222222222222223
2,5,3.4426877470355732
2,6,3.3536585365853657
2,7,2.9172413793103447
2,8,2.0988023952095807
2,9,2.158273381294964
2,10,2.2024793388429753
2,11,3.0183150183150182
2,12,2.616600790513834
2,13,3.3260188087774294
2,14,3.3300653594771243
2,15,2.58356940509915
2,16,2.730458221024259
2,17,2.675531914893617
2,18,2.4828571428571427
2,19,2.9224806201550386
2,20,3.3120567375886525
2,21,2.7815126050420167
2,22,2.3433734939759034
2,23,2.021406727828746
3,0,2.863157894736842
3,1,2.3504273504273505
3,2,0.6521739130434783
3,3,0.0
3,4,0.8461538461538461
3,5,4.299212598425197
3,6,3.2888888888888888
3,7,3.0520833333333335
3,8,2.08359133126935
3,9,2.9759450171821307
3,10,2.3041825095057034
3,11,3.4081632653061225
3,12,2.4268774703557314
3,13,3.2613240418118465
3,14,2.727891156462585
3,15,2.673202614379085
3,16,2.8684210526315788
3,17,2.75
3,18,3.581993569131833
3,19,2.876190476190476
3,20,2.6470588235294117
3,21,2.248995983935743
3,22,2.1894150417827296
3,23,2.2788461538461537
4,0,2.726530612244898
4,1,2.295275590551181
4,2,0.4017094017094017
4,3,0.0
4,4,1.935483870967742
4,5,3.8223938223938223
4,6,2.9363957597173145
4,7,2.507142857142857
4,8,3.090566037735849
4,9,2.776173285198556
4,10,2.3734939759036147
4,11,2.5
4,12,2.528776978417266
4,13,2.5111940298507465
4,14,2.4827586206896552
4,15,3.06969696969697
4,16,2.496932515337423
4,17,2.7814207650273226
4,18,2.85121107266436
4,19,2.8362989323843415
4,20,2.9776119402985075
4,21,3.024193548387097
4,22,2.545189504373178
4,23,2.6536144578313254
5,0,2.505
5,1,1.5022421524663676
5,2,0.36879432624113473
5,3,0.4358974358974359
5,4,0.4
5,5,2.755813953488372
5,6,4.393805309734513
5,7,2.8412698412698414
5,8,2.129251700680272
5,9,2.372972972972973
5,10,2.237864077669903
5,11,2.506666666666667
5,12,3.074380165289256
5,13,2.832699619771863
5,14,3.073943661971831
5,15,2.834710743801653
5,16,2.925266903914591
5,17,1.6717325227963526
5,18,2.328025477707006
5,19,3.237410071942446
5,20,2.2014388489208634
5,21,2.546938775510204
5,22,2.4022662889518416
5,23,2.9195402298850577
6,0,2.4318181818181817
6,1,2.0579710144927534
6,2,0.5074626865671642
6,3,0.4230769230769231
6,4,0.2631578947368421
6,5,0.9523809523809523
6,6,0.46875
6,7,2.9881656804733727
6,8,4.587301587301587
6,9,2.3210526315789473
6,10,2.576530612244898
6,11,2.9166666666666665
6,12,2.323232323232323
6,13,2.375
6,14,2.8067632850241546
6,15,1.897119341563786
6,16,2.943708609271523
6,17,2.772200772200772
6,18,2.6049382716049383
6,19,2.6371681415929205
6,20,2.8995433789954337
6,21,2.1492537313432836
6,22,1.75
6,23,3.5
